"sim","loss"
1,17688853.85
2,16381574.953
3,9299490.3
4,9187663.015
5,339864
6,8737043.981
7,6050198.435
8,22878065.962
9,18657396.707
10,33576935.703
11,4190426.031
12,23826577.696
13,20508831.203
14,7169100.062
15,7679137.642
16,2553803.228
17,36580473.597
18,37494453.164
19,21800007.344
20,3032162.826
21,8419978.046
22,8134936.735
23,4397430.285
24,1350216
25,3978038.3
26,10549308.775
27,15410352.248
28,3675795.326
29,4067608.572
30,1574367
31,43594262.469
32,11466670.906
33,14350520.497
34,19284073.237
35,0
36,7424747
37,13056253.2
38,5578867.826
39,23023807.84
40,21229351.8
41,22058742.143
42,15708494.724
43,5058347.768
44,24305896.834
45,10768476.24
46,10042404.551
47,5904227.068
48,3766082
49,2653794.3
50,34546284.435
51,31923238.821
52,10818998.362
53,0
54,11083091.093
55,2331846.3
56,8058837.946
57,10874355.306
58,25001624.247
59,24611809.323
60,2331846.3
61,27572770.224
62,18639644.057
63,4014961.3
64,10006114.768
65,12880074.625
66,160225
67,0
68,36930999.199
69,3505020.852
70,14783796.173
71,298397.451
72,6299052.58
73,20545522.316
74,25127392.916
75,13836420.411
76,0
77,10516172.277
78,1646192
79,8356820.768
80,0
81,11683578.203
82,7399552.717
83,10003012.768
84,30193700.629
85,16988241.508
86,10725311.513
87,2331846.3
88,20358741.668
89,4229778.58
90,10937392.378
91,17115325.383
92,34073280.805
93,3117764.003
94,15799975.887
95,9916749.802
96,10899861.331
97,10183921.3
98,8166726.751
99,25751637.364
100,21011498.478
101,25556399.287
102,41514687.578
103,558392
104,3171311.573
105,29069038.316
106,11598017.401
107,15546173.15
108,8407831.58
109,2331846.3
110,15013694.7
111,20896694.476
112,7146211.58
113,48529637.601
114,10833513.503
115,529002
116,23345728.536
117,25315198.735
118,8857448.513
119,24423041.135
120,3663948.991
121,11311465.504
122,18019347.608
123,1507967.4
124,20403271.585
125,8989284.468
126,36158077.394
127,8664476.235
128,9076680.751
129,2453192
130,5911552.857
131,4944665
132,32971974.256
133,7534644.378
134,5247419.219
135,37009733.687
136,19780525.875
137,2495775.451
138,7487833.3
139,29227257.027
140,5785052.782
141,6623147.513
142,47905226.706
143,2975570.29
144,37200424.233
145,13102056.497
146,41421954.441
147,21195067.818
148,7938926.062
149,43591919.427
150,11332682.026
151,70794852.864
152,1199915.248
153,1173174.552
154,4242752.41
155,33659872.653
156,6193744.435
157,22692893.925
158,18874281.668
159,15541431.844
160,1588048.424
161,0
162,10650116.203
163,6863172.219
164,1683115
165,8541908.683
166,11173310.997
167,1683115
168,7198140.41
169,10109900.816
170,31944763.783
171,14781788.205
172,23349270.056
173,6801285.435
174,3920639.517
175,10310761.657
176,3205748.552
177,17594263.774
178,6978878.255
179,18323944.069
180,14001968.016
181,3970715.826
182,9209704.094
183,13611245.086
184,1443322.477
185,14536367.028
186,8307889.6
187,4944665
188,19770765.086
189,5060283.768
190,18839469.571
191,19210489.185
192,27603048.654
193,9447146.552
194,750887
195,6784991.536
196,12457699.83
197,7086208.2
198,1302073
199,11735328.435
200,8513315.578
201,5304021.451
202,4409256
203,11153370.883
204,12098157.74
205,8635692.062
206,211322
207,7131750.062
208,4174038.852
209,3207213.287
210,4161110.826
211,6318284.435
212,807000
213,28123284.065
214,12536473.766
215,20297010.015
216,18243032.754
217,11399658.274
218,8354935.062
219,13795413.404
220,5919430.863
221,14019516.134
222,6590857
223,3412155.768
224,10819251.675
225,7293302.3
226,23983613.864
227,4555196.441
228,14706775.215
229,519313
230,24119291.11
231,7627200.71
232,26058917.377
233,13510271.003
234,14442294.973
235,3478710.3
236,5053701.34
237,3412155.768
238,8366474.629
239,4668288.003
240,2686490.271
241,10874654.213
242,72502187.41
243,10424711.099
244,3052521
245,24951843.79
246,4496549.583
247,14388112.466
248,4205337.378
249,4604272.712
250,967225
251,2611792
252,13537013.015
253,6962896.362
254,2217977.58
255,7971987.681
256,298397.451
257,30887963.307
258,5693835.58
259,30910457.901
260,24159506.853
261,6531868.65
262,0
263,7674532
264,6909330.061
265,13890101.931
266,14192841
267,24950822.069
268,18515536.44
269,40609692.822
270,811207.932
271,36289512.842
272,30164761.949
273,16955109.83
274,9769909.126
275,10713603.87
276,12467571.574
277,6889189.768
278,4131720.768
279,101298708.63
280,10039317.914
281,3166436.552
282,3259214.451
283,9104884.735
284,26145057.174
285,1283380
286,8397754.642
287,0
288,4470766.552
289,28541994.189
290,6713874
291,1173174.552
292,21771009.099
293,12862452.886
294,6495594.574
295,8673540.062
296,6738632.435
297,5606908.67
298,53353124.002
299,3716342.852
300,24644750.411
301,7188340.062
302,49336383.851
303,9003924.203
304,12425536.392
305,10659825.512
306,16192264.265
307,13641174.515
308,8477424.816
309,16653816.08
310,11414776.614
311,15275868.264
312,11011407.381
313,3572380.768
314,4793199.248
315,11960614.378
316,8834532.062
317,20174337.75
318,61899351.688
319,7595201.32
320,0
321,18198249.849
322,23365460.003
323,0
324,27723260.316
325,23936202.491
326,26594389.529
327,4646295.003
328,0
329,4113607
330,3641125.3
331,26983929.542
332,9627134.987
333,35224016.833
334,22164454.8
335,23210998.956
336,16307818.635
337,1154070
338,25297596.942
339,22580233.777
340,9281311.093
341,21525186.728
342,9447190.3
343,29429201.107
344,849707
345,8971001.261
346,13970518.36
347,5829278.829
348,13335373.755
349,24161916.044
350,31280633.499
351,4582627.031
352,6537183.678
353,17000792.007
354,15959441.677
355,27652997.794
356,7787669.062
357,16027530.864
358,11489965.093
359,2841565.751
360,339864
361,9743926.708
362,9029012.186
363,15583614.9
364,17066353.206
365,40702709.923
366,1253377.568
367,19338265.01
368,19405770.388
369,382968.875
370,3043602.015
371,7147016.435
372,476568.288
373,4317902.3
374,17566959.13
375,3032162.826
376,18430276.405
377,17071954.062
378,21624090.997
379,7471614.062
380,11883124.066
381,1520244.552
382,18256190.224
383,9936104.652
384,4878551.3
385,19434294.718
386,347070
387,17955165.57
388,54760401.069
389,0
390,16308726.609
391,347070
392,32923054.051
393,3457154.379
394,4657129.451
395,8133520.81
396,15868804.02
397,1786970.4
398,4982613.3
399,6324750.062
400,8936730.956
401,12822108.261
402,0
403,33917165.786
404,6558976.679
405,15213164.093
406,17791141.04
407,298397.451
408,4944665
409,7648058.3
410,3032162.826
411,33833504.092
412,5363008.303
413,35427131.081
414,10760375.299
415,8030605
416,20524832.353
417,0
418,2040253.317
419,11148825.325
420,17918743.075
421,1565709.58
422,339864
423,46804540.873
424,4550573.826
425,1683115
426,15486607.704
427,3686233.88
428,0
429,22647600.449
430,1986056
431,15952198.466
432,12691470.064
433,22255993.069
434,63560086.84
435,59347147.928
436,13757247.503
437,15671044.255
438,17740622.726
439,10637591.068
440,7727527.648
441,13733971.962
442,23909209.106
443,14353202.842
444,3032162.826
445,211322
446,2490115
447,6156304.768
448,7286959.062
449,14085902.362
450,4585330.32
451,13009669.056
452,1983185.552
453,19590212.116
454,10268024.888
455,11582847.977
456,9514786.577
457,16469067.83
458,32064295.462
459,1073586
460,8776070.348
461,211322
462,19034012.272
463,19398531.712
464,978689
465,1090751
466,6564408.219
467,6074718.678
468,7076092.976
469,17173159.371
470,10801577.88
471,15571655.594
472,5808255
473,12513569.405
474,18747689.188
475,6183376.32
476,15187265.952
477,7591035.048
478,6013566.991
479,18187763.614
480,14583121.969
481,8452539.58
482,5291735
483,3025862.628
484,1976157.031
485,19763791.973
486,16534127.642
487,31522317.652
488,14195152.484
489,0
490,17840143.521
491,22849055.146
492,36219920.299
493,3138846.3
494,21559764.901
495,3979974.3
496,7237960.435
497,3588072
498,2369529.004
499,8152198.143
500,1414776
501,17404644.884
502,8010274.993
503,16621360.914
504,7715857.406
505,8609203.513
506,7400647.35
507,19348007.3
508,10396323.814
509,14259392.768
510,8732833.583
511,1652785.031
512,19159113.496
513,43029019.687
514,7628532.987
515,16131350.849
516,0
517,0
518,13426888.239
519,13156664.687
520,32345160.657
521,17079965.807
522,3822805.611
523,33492764.243
524,8300391.815
525,25263394.014
526,25070933.28
527,7092117.062
528,7290974.777
529,16192991.96
530,22021212.94
531,2978758
532,11450063.36
533,32343629.066
534,6494889.068
535,33141717.279
536,9996357.435
537,16597527.594
538,1557887
539,16358825.012
540,11688071.894
541,25592818.395
542,2893775
543,339864
544,51153550.858
545,13567269.614
546,4656062.558
547,6671820.062
548,16116727.382
549,30208842.205
550,15140827.987
551,28161962.928
552,4006367.288
553,6255108.588
554,6088110.886
555,12933059.382
556,3007155.517
557,22816153.056
558,14458480.66
559,2509472
560,18980998.917
561,20954179.317
562,9205750.378
563,21363429.624
564,13148612.012
565,26153762.797
566,6313030.495
567,5629438.3
568,1683115
569,25422472.534
570,13857792.954
571,26947645.286
572,13680800.706
573,29635529.005
574,13611473.678
575,5013675.277
576,9356912.888
577,10381968.971
578,10249807.119
579,20256045.497
580,7453379.165
581,16128137.776
582,11138907.614
583,2291659.451
584,19799960.561
585,6812566.516
586,1023815
587,11053675.362
588,6218256
589,28568186.93
590,9646668.489
591,20351330.847
592,7408230.594
593,4766543.348
594,18736218.077
595,6231522.32
596,21057963.201
597,10985646.598
598,22186130.289
599,6963047.936
600,2553803.228
601,7112012.987
602,18179360.844
603,4181854.277
604,4977865.348
605,12713661.783
606,1354387.58
607,11632232.905
608,1283380
609,21980363.252
610,11918733.44
611,8158586.325
612,1526704.275
613,0
614,1061535
615,19997826.477
616,1683115
617,593635.242
618,509719.451
619,6623147.513
620,37763387.062
621,27655443.327
622,20959815.956
623,211322
624,36543907.024
625,8056322.219
626,11419411.331
627,23932290.791
628,6783372.513
629,19806220.738
630,7869471.614
631,11136865.014
632,9661884.075
633,6909716.488
634,17258591.599
635,12127618.551
636,8841740.503
637,6658412.552
638,750887
639,6191103.378
640,0
641,43025186.047
642,24606826.061
643,8039714.826
644,4672707.003
645,27693060.429
646,12954403.361
647,24890661.08
648,2542387.442
649,14202856.454
650,0
651,16871549.15
652,4456627.702
653,23762762.311
654,0
655,17478175.656
656,5554256.08
657,5695552
658,246565.242
659,7446073.701
660,6324750.062
661,0
662,39076916.241
663,0
664,0
665,7520778.675
666,25522496.591
667,36989673.768
668,0
669,32482240.153
670,13446034.257
671,19077910.188
672,0
673,33121.536
674,29217498.477
675,0
676,14194601.484
677,5008589.133
678,0
679,0
680,2527562.132
681,15055364.797
682,4380383.066
683,4325489.978
684,0
685,13713122.335
686,6229573
687,2671710.3
688,2594227
689,0
690,863590
691,0
692,6189338.3
693,11167892.132
694,1173174.552
695,7532309.987
696,14444153.82
697,19182377.152
698,0
699,10182803.83
700,5263355
701,9745063.484
702,298397.451
703,32856718.051
704,16449429.271
705,7099701.629
706,20516563.264
707,19536894.823
708,10279332.915
709,16060576.58
710,863590
711,32598583.076
712,1110155.242
713,645467.451
714,6016934.826
